PSM,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,TotalUnits,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
87281,1,1.8,16.32907429,1.9,1,Wat Phraya Krai,Bang Kho Laem,521,20,0,1,1,0,0,0,1,0
87059,2,1.7,16.32907429,2,2.2,Bang Klo,Bang Kho Laem,565,9,0,1,1,0,0,1,0,0
102439,1.536896235,2.209948409,16.32907429,1.726724437,1.876157941,Bang Klo,Bang Kho Laem,565,9,1,1,1,0,1,1,0,0
71893.5,0.1,2.8,16.32907429,2.6,1.2,Bang Khlo,Bang Kho Laem,497,20,1,1,0,0,1,1,0,0
103594.7778,2.1,1.8,16.32907429,2.1,2.2,Bang Klo,Bang Kho Laem,885,7,1,1,1,0,0,1,0,0
59712,0.8,1.8,16.32907429,1.5,0.5,Bang Kho Laem,Bang Kho Laem,406,10,1,1,1,0,1,1,0,0
131904.3333,0.3,3.2,16.32907429,2.3,2,Bang Khlo,Bang Kho Laem,556,11,1,1,1,1,0,0,0,0
101040.8,1.536896235,1.4,16.32907429,2.1,1.5,Wat Phraya Krai,Bang Kho Laem,132,6,0,1,1,0,1,1,0,0
59073.5,0.7,1.9,16.32907429,1.4,0.1,Bang Kho Laem,Bang Kho Laem,822,18,0,1,0,1,0,1,0,0
254497.8571,0.2,3,16.32907429,2.7,1.7,Bangklo,Bangkoleam,188,7,1,1,1,1,0,0,0,0
171750.875,1,0.6,16.32907429,1.2,1.5,Wat Phraya Krai,Bang Kho Laem,421,2,0,1,1,0,0,1,0,0
276134,0.6,3.1,16.32907429,1.726724437,1.3,Bang Khlo,Bang Kho Laem,180,17,0,1,0,0,0,1,0,0
127702.5,0.1,2.9,16.32907429,2.6,1.2,Bang Khlo,Bang Kho Laem,484,2,0,1,1,0,1,1,0,0
548490.75,1,0.8,16.32907429,1.1,1.4,Wat Prayakrai,Bang Kho Laem,99,3,0,1,1,1,1,1,0,0
108953,1.7,1.2,16.32907429,1.5,1.8,Wat Phraya Krai,Bang Kho Laem,135,4,0,1,1,0,1,1,0,0
95813,1.536896235,2.209948409,16.32907429,1.1,0.6,Samae Dam,Bang Khun Thian,244,5,0,1,1,0,1,1,0,0
51237,1.536896235,2.209948409,16.32907429,1,0.6,Samae Dam,Bang Khun Thian,322,7,1,1,1,0,1,1,0,0
62363.75,1.536896235,2.209948409,16.32907429,0.7,0.5,Samae Dam,Bang Khun Thian,458,10,1,1,1,0,1,1,0,0
56219,1.536896235,2.209948409,16.32907429,1.726724437,1.876157941,Samae Dam,Bang Khun Thian,458,10,1,1,1,0,1,1,0,0
90916.2,1.536896235,0.9,16.32907429,1.7,1.4,Bang Lamphu Lang,Khlong San,866,15,0,1,1,0,0,0,0,0
129111.2857,1.7,1.1,16.32907429,1.8,1.2,Bang Lamphu Lang,Khlong San,486,16,0,1,1,0,0,0,0,0
43749.33333,0.9,0.1,16.4,1.726724437,1.876157941,Sanphawut Rd,Bang Na,718,31,1,1,1,0,0,0,1,0
67504.5,1,2,15.4,2.8,2.7,Bang Na Tai,Bang Na,353,10,0,1,1,0,0,1,0,0
161734.8,0.5,1.8,14.9,2.5,1.876157941,Bang Chak,Phra Khanong,673,6,0,1,1,1,0,1,1,0
39150,1.536896235,3.4,12.7,0.1,0.3,Bang Na Nuea,Khet Bang Na,350,23,0,1,0,0,0,1,0,0
22527,1.536896235,2.209948409,16.32907429,1.726724437,1.876157941,Bang Na,Saphan Sung,845,19,0,1,0,0,0,1,0,0
82278,0.5,1.3,15,2.5,2.7,Bang Na,Bang Na,79,7,1,1,1,0,1,1,0,0
120695.2857,0.6,1.2,15,2.6,1.876157941,Bang Na Nuea,Bang Na,898,9,1,1,1,1,0,0,0,0
38571,0.6,1.7,15.8,1.726724437,1.876157941,Khwaeng Bang Na,Bang Na,551,28,0,0,0,0,0,0,0,0
92775.875,0.6,1.5,15.8,1.726724437,1.876157941,Bang Na Tai,Bang Na,1113,5,1,1,1,1,0,0,0,0
70068.75,0.4,1.6,15.9,1.726724437,1.876157941,Bang Na Tai,Bang Na,334,11,0,0,1,0,1,1,0,0
43888,1,0.2,16.4,1.726724437,1.876157941,Bang Na Nuea,Bang Na,410,22,0,0,0,0,0,1,0,0
68480.5,0.7,1.9,14.6,2.7,3,Bang Khae Nuea,Bang Khae,819,11,1,1,1,0,1,1,0,0
53310.66667,1.536896235,3.1,12.6,0.3,0.7,Bang Na,Bang Na,800,9,0,1,0,0,0,1,0,0
102722.1111,0.6,0.4,15.8,1.726724437,1.876157941,Bang Na,Bang Na,1569,7,1,1,1,0,0,1,0,0
47026,1.536896235,3.7,13.3,1.1,0.9,Bang Na,Bang Na,1384,8,0,1,1,0,1,1,0,0
35693,1.536896235,2.209948409,16.32907429,1.726724437,1.876157941,Bang Na,Bang Na,368,32,0,1,0,0,0,1,0,0
100980.125,0.2,1,15.3,3,1.876157941,Bang Na Nuea,Bang Na,421,13,1,1,1,1,0,0,0,0
97664.4,0.3,0.6,15.8,1.726724437,1.876157941,Bang Na Tai,Bang Na,820,13,1,1,1,0,0,0,0,0
88024.66667,0.7,1.7,14.6,2.3,2.5,Bang Na Nuea,Bang Na,1459,4,0,1,1,0,0,1,1,0
56651.33333,1,4,12.7,0.6,0.4,Bang Na Tai,Bang Na,600,10,1,1,1,0,1,1,0,0
118614.6,0.3,1.1,16,1.726724437,1.876157941,Bang Na Tai,Bang Na,844,8,1,1,1,0,1,1,0,0
74828.875,1.536896235,3,12.4,0.4,0.6,Bang Na,Bang Na,609,6,1,1,1,0,0,0,1,0
49924,1.536896235,3.5,13.1,0.6,0.5,Bang Na Tai,Bang Na,238,12,0,1,1,0,1,1,0,0
84088.66667,1.5,2.2,14.7,1.726724437,2,Bang Na Tai,Bang Na,672,3,0,1,1,0,1,1,0,0
87608.5,0.4,2.209948409,11.4,1.4,1.1,Bang Na Tai,Bang Na,1101,3,0,1,1,0,1,1,0,0
133993,1,3.3,12.6,0.1,0.4,Bang Na,Bang Na,204,2,0,1,1,0,1,1,0,0
27500,1.536896235,2.209948409,13,0.4,0.3,Bang Na Tai,Bang Na,145,27,0,1,1,0,1,1,0,0
